Artikel;Beschreibung;Einsatzgebiet;Nennquerschnitt;Außendurchmesser;Zulässige Abweichung;Gewicht;Min. Temperaturbeständigkeit;Max. Temperaturbeständigkeit;Produktblatt
FLRYW 1,5-B ;Einadrige, wärmedruckbeständige Fahrzeugleitung mit reduzierter Wandstärke;;1,5;2,4;0,3;16;-40;125;https://www.express-kabel.de/wp-content/uploads/2022/03/FLRYW-B-150mm².pdf
FLRYW 2,5-B;Einadrige Fahrzeugleitung mit reduzierter Wandstärke;;2,5;3;0,3;25;-40;125;https://www.express-kabel.de/wp-content/uploads/2022/03/FLRYW-B-250mm².pdf
FLRYW 4,0-B;Einadrige Fahrzeugleitung mit reduzierter Wandstärke;;4;3,7;0,3;41;-40;125;https://www.express-kabel.de/wp-content/uploads/2022/03/FLRYW-B-400mm².pdf
FLRYW 16,0-B;Einadrige, wärmedruckbeständige Fahrzeugleitung mit reduzierter Wandstärke;;16;7,7;0,6;168;-40;125;https://www.express-kabel.de/wp-content/uploads/2023/06/FLRYW-B-1600mm².pdf
FLYKH 6,00;Einadrige, kältebeständige Fahrzeugleitung;;6;5,9;0,2;79;-50;90;https://www.express-kabel.de/wp-content/uploads/2023/06/FLYKH.pdf
FLYKH 16,00;Einadrige, kältebeständige Fahrzeugleitung;;16;8,5;0,3;180;-50;90;https://www.express-kabel.de/wp-content/uploads/2023/06/FLYKH.pdf
FLYKH 25,00;Einadrige, kältebeständige Fahrzeugleitung;;25;10,2;0,2;287;-50;90;https://www.express-kabel.de/wp-content/uploads/2023/06/FLYKH.pdf
FLRYY-B 2 x 1,50 mm², Typ B;Zweiadrige PVC- Fahrzeugleitung mit dünnwandiger Isolierung;;2x1,5;;;65;-50;105;https://www.express-kabel.de/wp-content/uploads/2023/10/FLRYY-B-2-x-150-mm²-Typ-B_21503300H.pdf
FLRYY 2 x 2,50 mm², Typ B;Zweiadrige PVC- Fahrzeugleitung mit dünnwandiger Isolierung;;2x2,5;;;100;-50;105;https://www.express-kabel.de/wp-content/uploads/2023/10/FLRYY-2-x-250-mm²-Typ-B_22503300H.pdf
FLRYY 2 x 4,00 mm², Typ B;PVC-Fahrzeugleitung mit dünnwandiger Isolierung;;2x4,0;;;15;;;https://www.express-kabel.de/wp-content/uploads/2023/10/FLRYY-2-x-400-mm²_24003300H.pdf
Leoni Adascar® Sensor 1422 4x0,75;Mehradrige Sensorleitung für automotive Anwendung;;0,75;5,8;0,2;54,2;-40;125;https://www.express-kabel.de/wp-content/uploads/2022/05/Leoni-Adascar-Sensor-1422-4-x-075mm².pdf
LEONI Adascar® Sensor 211 2x0,5sn Flex;Mehradrige Sensorleitung für Automotive Anwendung;;0,5;;;25,6;-40;125;https://www.express-kabel.de/wp-content/uploads/2024/06/Leoni-Adascar-Sensor-211-2-x-05sn-Flex.pdf
Leoni Adascar® Truck 10131 9x1,5+4x2,5;Mehradrige Leitung für Nutzfahrzeuge mit ADR-Zertifikat;;1,5 + 2,5;13,4;0,3;326;-40;105;https://www.express-kabel.de/wp-content/uploads/2022/05/Leoni-Adascar-Truck-10131-9x154x25.pdf
Leoni Adascar® Truck 10404 4x1 Quad;Mehradrige Leitung für Nutzfahrzeuge mit ADR-Zertifikat zum statischen und flexiblen Verbau nach Erprobung;;1;5,8;0,2;62,3;-40;105;https://www.express-kabel.de/wp-content/uploads/2022/05/Leoni-Adascar-Truck-10404-4-x-100mm²-Quad.pdf
FLRYY-flach (FLRYYF) 2x1,5mm²;Fahrzeugleitung flach, Adern mit reduzierter Wandstärke;;2x1,5;;;0,06;-40;105;https://www.express-kabel.de/wp-content/uploads/2023/10/FLRYY-flach-FLRYYF-2-x-150-mm²_21503300F.pdf
FLRYY-flach (FLRYYF) 2x2,5mm²;Fahrzeugleitung flach, Adern mit reduzierter Wandstärke;;2x2,5;;;0,09;-40;105;https://www.express-kabel.de/wp-content/uploads/2023/10/FLRYY-flach-FLRYYF-2-x-250-mm²_22503300F.pdf
FLRYY-flach (FLRYYF) 2x4,00mm²;Fahrzeugleitung flach, Adern mit reduzierter Wandstärke;;2x4,0;;;0,12;-40;105;https://www.express-kabel.de/wp-content/uploads/2023/10/FLRYY-flach-FLRYYF-2-x-400-mm²_24003330F.pdf
Leoni Mocar® 150 A 0,5-A;Einadrige Fahrzeugleitung mit reduzierter Wandstärke;;0,5;1,6;0,2;6;-40;105;https://www.express-kabel.de/wp-content/uploads/2024/04/Mocar-150-A-05-A.pdf
